Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR6444047_1	97.41379310344827	51.0	250.02220169677065	250	40.0	29232.0
SRR6444047_2	93.97577996715928	52.0	250.98799261083744	251	40.0	29232.0
SRR6444051_1	96.88693007231758	51.0	249.93717992488905	250	40.0	32219.0
SRR6444051_2	93.16241969024489	51.0	250.9881126043639	251	40.0	32219.0
SRR6444056_1	97.53881905566705	49.0	249.97594274849476	250	40.0	37868.0
SRR6444056_2	94.4068870814408	50.0	250.98822224569557	251	40.0	37868.0
SRR6444059_1	97.17686039828244	50.0	249.97836156472934	250	40.0	29577.0
SRR6444059_2	93.15346384014606	51.0	250.9857321567434	251	40.0	29577.0
SRR6444066_1	97.47460628086851	49.0	249.99976703009972	250	40.0	21462.0
SRR6444066_2	93.17398192153574	50.0	250.98737303140433	251	40.0	21462.0
SRR6444070_1	96.98099908960089	51.0	249.95741681595254	250	40.0	34051.0
SRR6444070_2	92.83427799477255	51.0	250.98801797304043	251	40.0	34051.0
SRR6444072_1	97.00658761528327	50.0	249.8667720685112	250	40.0	18975.0
SRR6444072_2	91.15678524374177	51.0	250.98266139657443	251	40.0	18975.0
SRR6444079_1	97.52417569614354	51.0	250.00728183618781	250	40.0	17166.0
SRR6444079_2	92.72981475008739	51.0	250.9903297215426	251	40.0	17166.0
SRR6444103_1	96.49606108936253	50.0	250.02629162437776	250	40.0	20691.0
SRR6444103_2	91.62437774877966	50.0	250.98714416896235	251	40.0	20691.0
SRR6444123_1	96.00998890122086	50.0	250.02730299667036	250	40.0	18020.0
SRR6444123_2	91.23751387347392	51.0	250.9834628190899	251	40.0	18020.0
SRR6444127_1	97.13957558521112	50.0	250.00158608619557	250	40.0	18284.0
SRR6444127_2	92.1078538612995	50.0	250.98807700721943	251	40.0	18284.0
SRR6444141_1	95.72312382318658	52.0	249.98067784452613	250	40.0	22306.0
SRR6444141_2	91.93042230789922	52.0	250.98991302788488	251	40.0	22306.0
SRR6444192_1	96.29821919941851	51.0	250.0053995119672	250	40.0	19261.0
SRR6444192_2	90.95062561653081	52.0	250.98888946575983	251	40.0	19261.0
SRR6444202_1	97.38225136393213	50.0	250.03088242654786	250	40.0	19979.0
SRR6444202_2	93.13779468441864	50.0	250.987687071425	251	40.0	19979.0
SRR6444203_1	96.0074136998996	52.0	249.95254459803846	250	40.0	25898.0
SRR6444203_2	87.41987798285582	52.0	250.97420650243262	251	50.0	25898.0
SRR6444206_1	97.40165289256198	49.0	249.98988429752066	250	40.0	15125.0
SRR6444206_2	92.97190082644629	50.0	250.98776859504133	251	40.0	15125.0
SRR6444216_1	97.54918368105916	50.0	249.9439175871174	250	40.0	26889.0
SRR6444216_2	90.77689761612555	50.0	250.9752686972368	251	40.0	26889.0
SRR6444217_1	96.60177146364991	49.0	249.9445759887749	250	40.0	22806.0
SRR6444217_2	92.32219591335614	50.0	250.982636148382	251	40.0	22806.0
SRR6444218_1	97.12053042860526	50.0	250.00421501302392	250	40.0	21115.0
SRR6444218_2	91.43736680085247	50.0	250.98782855789722	251	40.0	21115.0
SRR6444257_1	98.292220113852	51.0	250.01405274592307	250	40.0	36363.0
SRR6444257_2	95.0994142397492	52.0	250.98886230509035	251	40.0	36363.0
SRR6444265_1	97.07589117491898	52.0	250.02404099781447	250	40.0	26538.0
