Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
Fungus_2137_1	(220, 7.0)	(221, 14.0)	(222, 7.0)	(223, 11.0)	(224, 18.0)	(225, 5.0)	(226, 5.0)	(227, 21.0)	(228, 19.0)	(229, 18.0)	(230, 16.0)	(231, 13.0)	(232, 1.0)	(233, 16.0)	(234, 58.0)	(235, 73.0)	(236, 66.0)	(237, 70.0)	(238, 50.0)	(239, 56.0)	(240, 0.0)	(241, 7.0)	(242, 15.0)	(243, 71.0)	(244, 454.0)	(245, 13353.0)	(246, 17372.0)	(247, 12040.0)	(248, 2336.0)	(249, 2483.0)	(250, 7821.0)
Fungus_2137_2	(220, 1.0)	(221, 0.0)	(222, 5.0)	(223, 11.0)	(224, 12.0)	(225, 13.0)	(226, 12.0)	(227, 2.0)	(228, 9.0)	(229, 10.0)	(230, 15.0)	(231, 10.0)	(232, 4.0)	(233, 3.0)	(234, 67.0)	(235, 18.0)	(236, 20.0)	(237, 59.0)	(238, 113.0)	(239, 85.0)	(240, 0.0)	(241, 4.0)	(242, 24.0)	(243, 37.0)	(244, 462.0)	(245, 7681.0)	(246, 9275.0)	(247, 8584.0)	(248, 9494.0)	(249, 10243.0)	(250, 10223.0)
Fungus_2146_1	(220, 3.0)	(221, 1.0)	(222, 3.0)	(223, 1.0)	(224, 1.0)	(225, 1.0)	(226, 0.0)	(227, 4.0)	(228, 0.0)	(229, 0.0)	(230, 0.0)	(231, 0.0)	(232, 0.0)	(233, 1.0)	(234, 4.0)	(235, 85.0)	(236, 96.0)	(237, 90.0)	(238, 100.0)	(239, 84.0)	(240, 90.0)	(241, 24.0)	(242, 36.0)	(243, 68.0)	(244, 598.0)	(245, 13641.0)	(246, 18955.0)	(247, 13062.0)	(248, 2534.0)	(249, 2373.0)	(250, 8674.0)
Fungus_2146_2	(220, 12.0)	(221, 13.0)	(222, 18.0)	(223, 18.0)	(224, 10.0)	(225, 8.0)	(226, 6.0)	(227, 10.0)	(228, 9.0)	(229, 13.0)	(230, 4.0)	(231, 16.0)	(232, 16.0)	(233, 15.0)	(234, 39.0)	(235, 65.0)	(236, 40.0)	(237, 70.0)	(238, 102.0)	(239, 165.0)	(240, 178.0)	(241, 236.0)	(242, 155.0)	(243, 394.0)	(244, 2077.0)	(245, 7373.0)	(246, 9121.0)	(247, 9445.0)	(248, 10322.0)	(249, 10923.0)	(250, 9656.0)
Fungus_2154_1	(220, 5.0)	(221, 14.0)	(222, 3.0)	(223, 10.0)	(224, 16.0)	(225, 9.0)	(226, 6.0)	(227, 8.0)	(228, 3.0)	(229, 15.0)	(230, 5.0)	(231, 9.0)	(232, 17.0)	(233, 14.0)	(234, 7.0)	(235, 9.0)	(236, 12.0)	(237, 17.0)	(238, 15.0)	(239, 15.0)	(240, 18.0)	(241, 20.0)	(242, 28.0)	(243, 116.0)	(244, 508.0)	(245, 11951.0)	(246, 16430.0)	(247, 11219.0)	(248, 2293.0)	(249, 2457.0)	(250, 7437.0)
Fungus_2154_2	(220, 2.0)	(221, 3.0)	(222, 9.0)	(223, 7.0)	(224, 10.0)	(225, 1.0)	(226, 1.0)	(227, 1.0)	(228, 0.0)	(229, 4.0)	(230, 4.0)	(231, 1.0)	(232, 6.0)	(233, 4.0)	(234, 10.0)	(235, 15.0)	(236, 8.0)	(237, 9.0)	(238, 6.0)	(239, 5.0)	(240, 15.0)	(241, 10.0)	(242, 32.0)	(243, 63.0)	(244, 318.0)	(245, 7617.0)	(246, 8506.0)	(247, 8299.0)	(248, 8925.0)	(249, 9481.0)	(250, 9314.0)
Fungus_2155_1	(220, 9.0)	(221, 7.0)	(222, 2.0)	(223, 9.0)	(224, 6.0)	(225, 6.0)	(226, 4.0)	(227, 1.0)	(228, 2.0)	(229, 9.0)	(230, 10.0)	(231, 6.0)	(232, 19.0)	(233, 6.0)	(234, 10.0)	(235, 0.0)	(236, 20.0)	(237, 12.0)	(238, 12.0)	(239, 11.0)	(240, 22.0)	(241, 11.0)	(242, 28.0)	(243, 138.0)	(244, 777.0)	(245, 16979.0)	(246, 17945.0)	(247, 17291.0)	(248, 8533.0)	(249, 5731.0)	(250, 12252.0)
Fungus_2155_2	(220, 1.0)	(221, 3.0)	(222, 3.0)	(223, 9.0)	(224, 2.0)	(225, 6.0)	(226, 2.0)	(227, 2.0)	(228, 3.0)	(229, 5.0)	(230, 7.0)	(231, 8.0)	(232, 4.0)	(233, 4.0)	(234, 2.0)	(235, 0.0)	(236, 5.0)	(237, 3.0)	(238, 0.0)	(239, 2.0)	(240, 3.0)	(241, 11.0)	(242, 14.0)	(243, 52.0)	(244, 304.0)	(245, 11875.0)	(246, 13221.0)	(247, 12528.0)	(248, 13207.0)	(249, 13927.0)	(250, 14655.0)
Fungus_2156_1	(220, 12.0)	(221, 8.0)	(222, 5.0)	(223, 0.0)	(224, 0.0)	(225, 2.0)	(226, 4.0)	(227, 2.0)	(228, 1.0)	(229, 2.0)	(230, 4.0)	(231, 4.0)	(232, 24.0)	(233, 90.0)	(234, 78.0)	(235, 65.0)	(236, 70.0)	(237, 83.0)	(238, 46.0)	(239, 18.0)	(240, 52.0)	(241, 48.0)	(242, 57.0)	(243, 122.0)	(244, 676.0)	(245, 15005.0)	(246, 20470.0)	(247, 14276.0)	(248, 2790.0)	(249, 3604.0)	(250, 8728.0)
Fungus_2156_2	(220, 16.0)	(221, 10.0)	(222, 0.0)	(223, 0.0)	(224, 2.0)	(225, 3.0)	(226, 0.0)	(227, 0.0)	(228, 5.0)	(229, 6.0)	(230, 7.0)	(231, 2.0)	(232, 18.0)	(233, 38.0)	(234, 38.0)	(235, 39.0)	(236, 113.0)	(237, 147.0)	(238, 70.0)	(239, 13.0)	(240, 37.0)	(241, 23.0)	(242, 27.0)	(243, 181.0)	(244, 369.0)	(245, 9468.0)	(246, 10644.0)	(247, 10497.0)	(248, 10796.0)	(249, 12298.0)	(250, 11479.0)
Fungus_21_1	(221, 5.0)	(222, 10.0)	(223, 11.0)	(224, 28.0)	(225, 3.0)	(226, 9.0)	(227, 9.0)	(228, 5.0)	(229, 2.0)	(230, 9.0)	(231, 1.0)	(232, 2.0)	(233, 0.0)	(234, 1.0)	(235, 1.0)	(236, 6.0)	(237, 11.0)	(238, 114.0)	(239, 4.0)	(240, 4.0)	(241, 9.0)	(242, 32.0)	(243, 102.0)	(244, 496.0)	(245, 15003.0)	(246, 19824.0)	(247, 14302.0)	(248, 2972.0)	(249, 2840.0)	(250, 8705.0)	
Fungus_21_2	(221, 3.0)	(222, 1.0)	(223, 1.0)	(224, 2.0)	(225, 4.0)	(226, 1.0)	(227, 4.0)	(228, 4.0)	(229, 4.0)	(230, 2.0)	(231, 0.0)	(232, 1.0)	(233, 1.0)	(234, 0.0)	(235, 0.0)	(236, 6.0)	(237, 6.0)	(238, 4.0)	(239, 10.0)	(240, 9.0)	(241, 11.0)	(242, 13.0)	(243, 55.0)	(244, 725.0)	(245, 9065.0)	(246, 10241.0)	(247, 10184.0)	(248, 11140.0)	(249, 11161.0)	(250, 11862.0)	
Fungus_23_1	(220, 1.0)	(221, 0.0)	(222, 0.0)	(223, 1.0)	(224, 8.0)	(225, 6.0)	(226, 5.0)	(227, 4.0)	(228, 5.0)	(229, 1.0)	(230, 0.0)	(231, 1.0)	(232, 0.0)	(233, 2.0)	(234, 7.0)	(235, 5.0)	(236, 12.0)	(237, 18.0)	(238, 434.0)	(239, 14.0)	(240, 7.0)	(241, 17.0)	(242, 41.0)	(243, 124.0)	(244, 930.0)	(245, 14581.0)	(246, 19669.0)	(247, 14277.0)	(248, 2905.0)	(249, 3095.0)	(250, 7740.0)
Fungus_23_2	(220, 3.0)	(221, 0.0)	(222, 1.0)	(223, 6.0)	(224, 4.0)	(225, 6.0)	(226, 5.0)	(227, 6.0)	(228, 4.0)	(229, 4.0)	(230, 1.0)	(231, 2.0)	(232, 3.0)	(233, 2.0)	(234, 5.0)	(235, 6.0)	(236, 3.0)	(237, 7.0)	(238, 13.0)	(239, 13.0)	(240, 23.0)	(241, 13.0)	(242, 28.0)	(243, 78.0)	(244, 590.0)	(245, 9185.0)	(246, 10209.0)	(247, 10085.0)	(248, 10678.0)	(249, 11608.0)	(250, 11319.0)
Fungus_26_1	(220, 1.0)	(221, 8.0)	(222, 1.0)	(223, 5.0)	(224, 3.0)	(225, 1.0)	(226, 3.0)	(227, 18.0)	(228, 10.0)	(229, 14.0)	(230, 4.0)	(231, 11.0)	(232, 15.0)	(233, 34.0)	(234, 9.0)	(235, 22.0)	(236, 17.0)	(237, 17.0)	(238, 55.0)	(239, 4.0)	(240, 1.0)	(241, 8.0)	(242, 27.0)	(243, 102.0)	(244, 645.0)	(245, 12815.0)	(246, 17291.0)	(247, 11943.0)	(248, 2495.0)	(249, 2399.0)	(250, 8166.0)
