Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
Fungus_2146_1	(1.0, 1.068909117943465)	(2.0, 0.6542318558046556)	(3.0, 0.5650184209222026)	(4.0, 0.3832873498653538)	(5.0, 0.2725966065852732)	(6.0, 0.2379024930198748)	(7.0, 0.2197293859141899)	(8.0, 0.21146888268433311)	(9.0, 0.1189512465099374)	('>10', 4.098861702654926)	('>50', 2.1873812552660707)	('>100', 8.348064564093246)	('>500', 1.3861124419699646)	('>1k', 5.8616530919063585)	('>5k', 0.0)	('>10k+', 74.38583158486016)
Fungus_2146_2	(1.0, 0.9664788778932412)	(2.0, 0.49232599249946307)	(3.0, 0.36676634340564024)	(4.0, 0.21146888268433311)	(5.0, 0.25607560012555963)	(6.0, 0.16851426588907795)	(7.0, 0.2544234994795883)	(8.0, 0.1850352723487915)	(9.0, 0.19329577557864824)	('>10', 5.860000991260388)	('>50', 0.9796956830610122)	('>100', 3.122470220885856)	('>500', 3.514018073981067)	('>1k', 2.208858563663698)	('>5k', 0.0)	('>10k+', 81.22057195724364)
Fungus_2154_1	(1.0, 2.7388680104771668)	(2.0, 1.7386022852370648)	(3.0, 1.2071518050335952)	(4.0, 0.8275443191739741)	(5.0, 0.7402345974262613)	(6.0, 0.6035759025167976)	(7.0, 0.5447367422085564)	(8.0, 0.5010818813346999)	(9.0, 0.5978817902289033)	('>10', 7.406142049121208)	('>50', 4.712826936947197)	('>100', 11.758341874501765)	('>500', 2.623087727289982)	('>1k', 28.941274721937514)	('>5k', 9.902061268648216)	('>10k+', 25.156588087917093)
Fungus_2154_2	(1.0, 2.3744448240519302)	(2.0, 1.3058497513570968)	(3.0, 0.9452226397904566)	(4.0, 0.6073719773753938)	(5.0, 0.7687051588657328)	(6.0, 0.45552898303154543)	(7.0, 0.34544281213225525)	(8.0, 0.197395892647003)	(9.0, 0.18790570550051247)	('>10', 3.0862088600387203)	('>50', 3.146946057776259)	('>100', 14.354857077781574)	('>500', 2.5794328664161257)	('>1k', 8.605701704437612)	('>5k', 41.24435333864784)	('>10k+', 19.794632350149946)
Fungus_2155_1	(1.0, 1.611408824560525)	(2.0, 0.9966444633645516)	(3.0, 0.8301196975008764)	(4.0, 0.590975108929734)	(5.0, 0.3568387839935894)	(6.0, 0.33805779536234787)	(7.0, 0.14023138177993688)	(8.0, 0.21034707266990535)	(9.0, 0.13522311814493915)	('>10', 3.8200530875945313)	('>50', 3.051284619622377)	('>100', 7.804126809235239)	('>500', 4.696499223719137)	('>1k', 23.77798367306055)	('>5k', 0.0)	('>10k+', 51.64020634046176)
Fungus_2155_2	(1.0, 2.4114789402514147)	(2.0, 1.3246857314569038)	(3.0, 0.8188511043221315)	(4.0, 0.6460660089147092)	(5.0, 0.5696899884809936)	(6.0, 0.4507437271497971)	(7.0, 0.2979916862823659)	(8.0, 0.34056192717984674)	(9.0, 0.2591776431111334)	('>10', 4.431061251064256)	('>50', 2.7119747583512797)	('>100', 11.431361746882356)	('>500', 7.5286723093103625)	('>1k', 14.246005909751089)	('>5k', 8.137176340962588)	('>10k+', 44.39450092652877)
Fungus_2156_1	(1.0, 1.9564103337051215)	(2.0, 1.537394869321436)	(3.0, 1.008350164290236)	(4.0, 0.9887559159557472)	(5.0, 0.69333494106653)	(6.0, 0.6330449461911796)	(7.0, 0.5275374551593163)	(8.0, 0.3979139661773129)	(9.0, 0.4612184607964308)	('>10', 6.473638199740753)	('>50', 3.4772254544358367)	('>100', 13.290929370271003)	('>500', 5.162330811201881)	('>1k', 22.95240104904591)	('>5k', 10.027733397642661)	('>10k+', 30.411780664998645)
Fungus_2156_2	(1.0, 2.107135320893498)	(2.0, 1.3354233864890122)	(3.0, 1.134959153528472)	(4.0, 0.8440599282549061)	(5.0, 0.6028999487535044)	(6.0, 0.4702619600277334)	(7.0, 0.4009284659210804)	(8.0, 0.3255659723268924)	(9.0, 0.27130497693907696)	('>10', 3.159195731468363)	('>50', 1.5705543665028787)	('>100', 12.213245711874114)	('>500', 6.197811473186024)	('>1k', 16.04316763633075)	('>5k', 32.97109094745727)	('>10k+', 20.352395020046423)
Fungus_21_1	(1.0, 1.4429634221946683)	(2.0, 0.8493490390576566)	(3.0, 0.6742095474271544)	(4.0, 0.42157470551766896)	(5.0, 0.4107253564786113)	(6.0, 0.30688158710477376)	(7.0, 0.3037817730936144)	(8.0, 0.29758214507129577)	(9.0, 0.23713577185368878)	('>10', 5.4308741475511475)	('>50', 2.5604463732176073)	('>100', 10.249535027898327)	('>500', 2.8456292622442656)	('>1k', 13.437693738375698)	('>5k', 0.0)	('>10k+', 60.53161810291382)
Fungus_21_2	(1.0, 1.8490390576565405)	(2.0, 1.0198388096714197)	(3.0, 0.8090514569125853)	(4.0, 0.5579665220086795)	(5.0, 0.4417234965902046)	(6.0, 0.39057656540607566)	(7.0, 0.32548047117172973)	(8.0, 0.3223806571605704)	(9.0, 0.3487290762554247)	('>10', 2.876627402355859)	('>50', 2.569745815251085)	('>100', 11.057036577805333)	('>500', 4.798512089274644)	('>1k', 14.573775573465591)	('>5k', 10.209237445753255)	('>10k+', 47.850278983261)
