Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR6444245_1	SRR6444245_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36143.0	9 Mbp	0.0	248-251	51.0	4.493262872478764	250.99028857593447	251	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444245_2	SRR6444245_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36143.0	9 Mbp	0.0	247-251	51.0	12.954098995656144	250.76153058683562	251	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444246_1	SRR6444246_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45041.0	11.3 Mbp	0.0	248-251	50.0	3.470171621411603	250.99360582580314	251	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444246_2	SRR6444246_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45041.0	11.2 Mbp	0.0	246-251	51.0	9.506893719055972	250.12135609777758	250	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444247_1	SRR6444247_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44127.0	11 Mbp	0.0	248-251	49.0	1.978380583316337	250.99245359983684	251	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444247_2	SRR6444247_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44127.0	11 Mbp	0.0	35-251	50.0	8.910644276746662	250.953883110114	251	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444248_1	SRR6444248_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31727.0	7.9 Mbp	0.0	248-251	51.0	4.661644655971255	250.99306584297287	251	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444248_2	SRR6444248_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31727.0	7.9 Mbp	0.0	246-251	51.0	12.916443407822989	250.27749235666784	250	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444249_1	SRR6444249_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36160.0	9 Mbp	0.0	248-251	50.0	3.7002212389380533	250.99225663716814	251	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR6444249_2	SRR6444249_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36160.0	9 Mbp	0.0	245-251	50.0	13.116703539823007	250.1131913716814	250	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
