Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
SRR6443861_1										5.150470635025852	1.5776216359538644	9.05806708206284	4.981439745459366	18.941402624950285	0.0	55.24658623889699
SRR6443861_2										5.929338459498873	0.7457245127933183	10.158425029828981	11.755932652790667	30.312872862256395	27.021742012461885	0.0
SRR6443862_1										3.5553651745555794	1.5688584279288926	1.8901263653887341	5.399978582137503	33.93392589419576	0.0	49.22895695009638
SRR6443862_2										4.931462840008567	1.354679802955665	12.96048404369244	8.583208395802098	26.879417434140073	0.0	34.929856500321264
SRR6443863_1										3.82676636142149	1.1257666134587918	9.25396958749895	5.868268503738553	22.889187599764764	0.0	51.55843064773586
SRR6443863_2										5.380996387465345	2.4867680416701674	9.438796941947409	16.71847433420146	30.06384944971856	21.55338990170545	0.0
SRR6443864_1										4.748858447488584	5.555555555555555	33.71385083713851	10.547945205479452	32.61796042617961	0.0	0.0
SRR6443864_2										8.21917808219178	2.89193302891933	42.69406392694064	24.277016742770165	0.0	0.0	0.0
SRR6443865_1										6.492646084536902	5.286868954551478	35.2722936266066	30.886444945011267	15.078839273883663	0.0	0.0
SRR6443865_2										12.336027560620114	11.70001325029813	21.4654829733669	35.52404929110905	0.0	0.0	0.0
SRR6443866_1										3.5877174374204497	0.6920873992363173	6.1094611794654226	10.227513788714468	35.68360203648706	0.0	38.295502757742895
SRR6443866_2										6.048472634705133	3.1501909206618586	11.526834959694526	7.196648281714044	39.515273652948665	15.281607976240984	0.0
SRR6443867_1										2.661279979479287	1.5005771450557905	16.12479158650763	11.57496473002437	42.89470309093241	17.397717070668207	0.0
SRR6443867_2										5.5726561498012055	3.21598050532256	29.235603437219442	4.860843914326023	39.22021290239836	0.0	0.0
SRR6443868_1										2.4391506991196272	1.6934230968410149	19.249093733816675	11.657172449508026	13.371310201967892	45.960642154324184	0.0
SRR6443868_2										4.9508026929052305	2.9673744174003107	22.154324184360437	4.256861729673744	54.46918694976696	0.0	0.0
