Sample	percent_duplicates	percent_gc	avg_sequence_length	median_sequence_length	percent_fails	total_sequences
SRR6444465_1	94.53515045203076	52.0	250.99109431925515	251	30.0	7411.0
SRR6444465_2	82.05370395358251	53.0	250.06503845634867	250	50.0	7411.0
SRR6444466_1	96.82501921458112	49.0	250.9894777293855	251	40.0	54646.0
SRR6444466_2	90.78615086191121	50.0	250.75840866669105	251	40.0	54646.0
SRR6444467_1	96.88062247353787	50.0	250.99315372572843	251	40.0	42797.0
SRR6444467_2	89.05764422739912	50.0	250.06720097203075	250	50.0	42797.0
SRR6444468_1	96.43103668669309	49.0	250.99156333887257	251	40.0	39115.0
SRR6444468_2	89.5871149175508	50.0	250.75799565384125	251	40.0	39115.0
SRR6444469_1	93.30836788373233	52.0	250.950024519638	251	40.0	22431.0
SRR6444469_2	87.99875172751995	52.0	250.76322945923053	251	40.0	22431.0
SRR6444470_1	96.05256570713392	50.0	250.99091364205256	251	40.0	39950.0
SRR6444470_2	89.909887359199	50.0	250.53817271589486	251	40.0	39950.0
SRR6444471_1	97.4605457366688	50.0	250.9934022127187	251	40.0	79269.0
SRR6444471_2	91.6865357201428	50.0	250.14735899279668	250	50.0	79269.0
SRR6444472_1	95.84899699889434	51.0	250.99377665455694	251	40.0	31655.0
SRR6444472_2	89.082293476544	52.0	250.1288264097299	250	50.0	31655.0
SRR6444473_1	96.99006063636932	49.0	250.99087328874162	251	40.0	31994.0
SRR6444473_2	91.36713133712571	49.0	250.29680565105957	250	50.0	31994.0
SRR6444474_1	96.89407049822388	50.0	250.01762455597049	250	40.0	21958.0
SRR6444474_2	92.27616358502596	51.0	250.98633755351125	251	40.0	21958.0
SRR6444475_1	94.90364707756012	52.0	250.98268036311515	251	30.0	25116.0
SRR6444475_2	82.63258480649785	52.0	250.10308170090778	250	50.0	25116.0
SRR6444476_1	96.84700824077392	48.0	250.99367013018033	251	40.0	25119.0
SRR6444476_2	89.96775349337155	49.0	250.0729726501851	250	50.0	25119.0
SRR6444477_1	96.69231652693236	50.0	250.9935109681865	251	40.0	52242.0
SRR6444477_2	89.81470847211057	50.0	250.95938134068373	251	50.0	52242.0
SRR6444478_1	96.5193199381762	52.0	250.9944976816074	251	40.0	16175.0
SRR6444478_2	88.67387944358578	52.0	250.130942812983	250	50.0	16175.0
SRR6444479_1	96.64290450928382	49.0	249.9496850132626	250	40.0	12064.0
SRR6444479_2	89.6800397877984	50.0	250.97969164456234	251	40.0	12064.0
SRR6444480_1	97.44783866401329	49.0	250.99402991198735	251	40.0	48743.0
SRR6444480_2	91.85113759924502	50.0	250.78364072789938	251	40.0	48743.0
SRR6444481_1	96.73799829561595	52.0	250.99185683173943	251	40.0	42244.0
SRR6444481_2	89.74055487169775	53.0	250.97024429504782	251	50.0	42244.0
SRR6444482_1	97.08998831320608	50.0	250.03311258278146	250	40.0	25670.0
SRR6444482_2	92.0997273081418	51.0	250.98613167121152	251	40.0	25670.0
SRR6444483_1	95.96631397106457	50.0	250.99395378967824	251	40.0	23155.0
SRR6444483_2	87.94212912977758	50.0	250.10421075361694	250	50.0	23155.0
